datetime,outdoor_temp,outdoor_humidity,indoor_temp,indoor_humidity,co2,occupancy,is_class_time,course_intensity,ac_setpoint,ac_on,window_open,ac_energy
2024-01-01 00:00:00,6.2,75.2,6.2,75.2,420.0,0,0,0.0,0.0,0,0,0.0
2024-01-01 01:00:00,5.6,81.5,6.1,75.8,420.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 02:00:00,3.8,77.0,5.9,75.9,420.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 03:00:00,6.4,80.3,6.0,76.4,420.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 04:00:00,3.5,79.4,5.7,76.7,420.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 05:00:00,4.0,75.5,5.5,76.6,420.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 06:00:00,5.8,69.9,5.6,75.9,420.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 07:00:00,3.9,72.3,5.4,75.5,420.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 08:00:00,6.2,73.0,5.5,75.3,3642.0,29,1,0.483,26.0,0,0,0.0
2024-01-01 09:00:00,7.6,65.8,5.7,74.3,5000.0,29,1,0.483,26.0,0,0,0.0
2024-01-01 10:00:00,12.5,67.3,6.4,73.6,5000.0,45,1,0.75,26.0,0,0,0.0
2024-01-01 11:00:00,11.6,61.7,7.0,72.4,5000.0,45,1,0.75,26.0,0,0,0.0
2024-01-01 12:00:00,11.7,64.7,7.5,71.7,2710.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 13:00:00,11.6,64.2,7.9,70.9,1565.0,0,0,0.0,26.0,0,0,0.0
2024-01-01 14:00:00,12.9,61.4,8.4,70.0,4437.0,31,1,0.517,26.0,0,0,0.0
2024-01-01 15:00:00,13.1,67.6,8.9,69.7,5000.0,31,1,0.517,26.0,0,0,0.0
2024-01-01 16:00:00,13.8,59.1,9.4,68.7,5000.0,38,1,0.633,26.0,0,0,0.0
2024-01-01 17:00:00,14.6,59.4,10.0,67.7,5000.0,38,1,0.633,26.0,0,0,0.0
2024-01-01 18:00:00,12.8,58.5,10.3,66.8,2710.0,0,0,0.0,26.0,0,0,0.0
